magnitude,target,smallestFactor,arraySize,trials,threads,meanSteps,stepsPerElement,convergenceRate,wallTimeMs
1e4,1022117,1009,50,20,4,34.50,.6900,100.0,139
1e4,1022117,1009,100,20,4,90.05,.9005,100.0,182
1e4,1022117,1009,200,20,4,189.45,.9472,100.0,256
1e4,1022117,1009,500,20,4,534.45,1.0689,100.0,657
1e4,1022117,1009,1000,20,4,1095.10,1.0951,100.0,2148
1e4,1022117,1009,1500,20,4,1796.25,1.1975,100.0,4869
1e4,1022117,1009,2000,20,4,2428.20,1.2141,100.0,9377
1e4,1022117,1009,2500,20,4,0,0,0,83643
1e4,1022117,1009,3000,20,4,0,0,0,95364
1e4,1022117,1009,3500,20,4,0,0,0,78194
1e4,1022117,1009,4000,20,4,0,0,0,66882
1e5,100160063,10007,50,20,4,40.35,.8070,100.0,159
1e5,100160063,10007,100,20,4,93.95,.9395,100.0,199
1e5,100160063,10007,200,20,4,204.40,1.0220,100.0,288
1e5,100160063,10007,500,20,4,560.75,1.1215,100.0,793
1e5,100160063,10007,1000,20,4,1172.20,1.1722,100.0,2668
1e5,100160063,10007,1500,20,4,1848.60,1.2324,100.0,5495
1e5,100160063,10007,2000,20,4,2403.00,1.2015,100.0,11022
1e5,100160063,10007,2500,20,4,0,0,0,77344
1e5,100160063,10007,3000,20,4,0,0,0,89282
1e5,100160063,10007,3500,20,4,0,0,0,90482
1e5,100160063,10007,4000,20,4,0,0,0,71980
1e6,10002200057,100003,50,20,4,40.05,.8010,100.0,155
1e6,10002200057,100003,100,20,4,90.35,.9035,100.0,173
1e6,10002200057,100003,200,20,4,192.40,.9620,100.0,243
1e6,10002200057,100003,500,20,4,579.05,1.1581,100.0,691
1e6,10002200057,100003,1000,20,4,1120.55,1.1205,100.0,2478
1e6,10002200057,100003,1500,20,4,1842.20,1.2281,100.0,5774
1e6,10002200057,100003,2000,20,4,2320.25,1.1601,100.0,10552
1e6,10002200057,100003,2500,20,4,0,0,0,84271
1e6,10002200057,100003,3000,20,4,0,0,0,66736
1e6,10002200057,100003,3500,20,4,0,0,0,68802
1e6,10002200057,100003,4000,20,4,0,0,0,49759
1e9,1000036000099,1000003,50,20,4,35.60,.7120,100.0,124
1e9,1000036000099,1000003,100,20,4,98.35,.9835,100.0,151
1e9,1000036000099,1000003,200,20,4,208.40,1.0420,100.0,226
1e9,1000036000099,1000003,500,20,4,624.45,1.2489,100.0,695
1e9,1000036000099,1000003,1000,20,4,1137.70,1.1377,100.0,2051
1e9,1000036000099,1000003,1500,20,4,1696.00,1.1306,100.0,4290
1e9,1000036000099,1000003,2000,20,4,2446.65,1.2233,100.0,8644
1e9,1000036000099,1000003,2500,20,4,0,0,0,55848
1e9,1000036000099,1000003,3000,20,4,0,0,0,56300
1e9,1000036000099,1000003,3500,20,4,0,0,0,54499
1e9,1000036000099,1000003,4000,20,4,0,0,0,52475
